week no,Category,Year
1,2,2019
2,2,2019
3,2,2019
4,2,2019
5,2,2019
6,2,2019
7,2,2019
8,2,2019
9,2,2019
10,2,2019
11,2,2019
12,2,2019
13,2,2019
14,2,2019
15,2,2019
16,2,2019
17,2,2019
18,2,2019
19,2,2019
20,2,2019
21,2,2019
22,2,2019
23,2,2019
24,2,2019
25,2,2019
26,2,2019
27,2,2019
28,2,2019
29,2,2019
30,2,2019
31,2,2019
32,2,2019
33,2,2019
34,2,2019
35,2,2019
36,2,2019
37,2,2019
38,2,2019
39,2,2019
40,2,2019
41,2,2019
42,2,2019
43,2,2019
44,2,2019
45,2,2019
46,2,2019
47,2,2019
48,2,2019
49,2,2019
50,2,2019
51,2,2019
52,2,2019
53,2,2019
1,1,2019
2,1,2019
3,1,2019
4,1,2019
5,1,2019
6,1,2019
7,1,2019
8,1,2019
9,1,2019
10,1,2019
11,1,2019
12,1,2019
13,1,2019
14,1,2019
15,1,2019
16,1,2019
17,1,2019
18,1,2019
19,1,2019
20,1,2019
21,1,2019
22,1,2019
23,1,2019
24,1,2019
25,1,2019
26,1,2019
27,1,2019
28,1,2019
29,1,2019
30,1,2019
31,1,2019
32,1,2019
33,1,2019
34,1,2019
35,1,2019
36,1,2019
37,1,2019
38,1,2019
39,1,2019
40,1,2019
41,1,2019
42,1,2019
43,1,2019
44,1,2019
45,1,2019
46,1,2019
47,1,2019
48,1,2019
49,1,2019
50,1,2019
51,1,2019
52,1,2019
53,1,2019
1,5,2019
2,5,2019
3,5,2019
4,5,2019
5,5,2019
6,5,2019
7,5,2019
8,5,2019
9,5,2019
10,5,2019
11,5,2019
12,5,2019
13,5,2019
14,5,2019
15,5,2019
16,5,2019
17,5,2019
18,5,2019
19,5,2019
20,5,2019
21,5,2019
22,5,2019
23,5,2019
24,5,2019
25,5,2019
26,5,2019
27,5,2019
28,5,2019
29,5,2019
30,5,2019
31,5,2019
32,5,2019
33,5,2019
34,5,2019
35,5,2019
36,5,2019
37,5,2019
38,5,2019
39,5,2019
40,5,2019
41,5,2019
42,5,2019
43,5,2019
44,5,2019
45,5,2019
46,5,2019
47,5,2019
48,5,2019
49,5,2019
50,5,2019
51,5,2019
52,5,2019
53,5,2019
1,35,2019
2,35,2019
3,35,2019
4,35,2019
5,35,2019
6,35,2019
7,35,2019
8,35,2019
9,35,2019
10,35,2019
11,35,2019
12,35,2019
13,35,2019
14,35,2019
15,35,2019
16,35,2019
17,35,2019
18,35,2019
19,35,2019
20,35,2019
21,35,2019
22,35,2019
23,35,2019
24,35,2019
25,35,2019
26,35,2019
27,35,2019
28,35,2019
29,35,2019
30,35,2019
31,35,2019
32,35,2019
33,35,2019
34,35,2019
35,35,2019
36,35,2019
37,35,2019
38,35,2019
39,35,2019
40,35,2019
41,35,2019
42,35,2019
43,35,2019
44,35,2019
45,35,2019
46,35,2019
47,35,2019
48,35,2019
49,35,2019
50,35,2019
51,35,2019
52,35,2019
53,35,2019
1,7,2019
2,7,2019
3,7,2019
4,7,2019
5,7,2019
6,7,2019
7,7,2019
8,7,2019
9,7,2019
10,7,2019
11,7,2019
12,7,2019
13,7,2019
14,7,2019
15,7,2019
16,7,2019
17,7,2019
18,7,2019
19,7,2019
20,7,2019
21,7,2019
22,7,2019
23,7,2019
24,7,2019
25,7,2019
26,7,2019
27,7,2019
28,7,2019
29,7,2019
30,7,2019
31,7,2019
32,7,2019
33,7,2019
34,7,2019
35,7,2019
36,7,2019
37,7,2019
38,7,2019
39,7,2019
40,7,2019
41,7,2019
42,7,2019
43,7,2019
44,7,2019
45,7,2019
46,7,2019
47,7,2019
48,7,2019
49,7,2019
50,7,2019
51,7,2019
52,7,2019
53,7,2019
1,4,2019
2,4,2019
3,4,2019
4,4,2019
5,4,2019
6,4,2019
7,4,2019
8,4,2019
9,4,2019
10,4,2019
11,4,2019
12,4,2019
13,4,2019
14,4,2019
15,4,2019
16,4,2019
17,4,2019
18,4,2019
19,4,2019
20,4,2019
21,4,2019
22,4,2019
23,4,2019
24,4,2019
25,4,2019
26,4,2019
27,4,2019
28,4,2019
29,4,2019
30,4,2019
31,4,2019
32,4,2019
33,4,2019
34,4,2019
35,4,2019
36,4,2019
37,4,2019
38,4,2019
39,4,2019
40,4,2019
41,4,2019
42,4,2019
43,4,2019
44,4,2019
45,4,2019
46,4,2019
47,4,2019
48,4,2019
49,4,2019
50,4,2019
51,4,2019
52,4,2019
53,4,2019
1,8,2019
2,8,2019
3,8,2019
4,8,2019
5,8,2019
6,8,2019
7,8,2019
8,8,2019
9,8,2019
10,8,2019
11,8,2019
12,8,2019
13,8,2019
14,8,2019
15,8,2019
16,8,2019
17,8,2019
18,8,2019
19,8,2019
20,8,2019
21,8,2019
22,8,2019
23,8,2019
24,8,2019
25,8,2019
26,8,2019
27,8,2019
28,8,2019
29,8,2019
30,8,2019
31,8,2019
32,8,2019
33,8,2019
34,8,2019
35,8,2019
36,8,2019
37,8,2019
38,8,2019
39,8,2019
40,8,2019
41,8,2019
42,8,2019
43,8,2019
44,8,2019
45,8,2019
46,8,2019
47,8,2019
48,8,2019
49,8,2019
50,8,2019
51,8,2019
52,8,2019
53,8,2019
1,50,2019
2,50,2019
3,50,2019
4,50,2019
5,50,2019
6,50,2019
7,50,2019
8,50,2019
9,50,2019
10,50,2019
11,50,2019
12,50,2019
13,50,2019
14,50,2019
15,50,2019
16,50,2019
17,50,2019
18,50,2019
19,50,2019
20,50,2019
21,50,2019
22,50,2019
23,50,2019
24,50,2019
25,50,2019
26,50,2019
27,50,2019
28,50,2019
29,50,2019
30,50,2019
31,50,2019
32,50,2019
33,50,2019
34,50,2019
35,50,2019
36,50,2019
37,50,2019
38,50,2019
39,50,2019
40,50,2019
41,50,2019
42,50,2019
43,50,2019
44,50,2019
45,50,2019
46,50,2019
47,50,2019
48,50,2019
49,50,2019
50,50,2019
51,50,2019
52,50,2019
53,50,2019
1,36,2019
2,36,2019
3,36,2019
4,36,2019
5,36,2019
6,36,2019
7,36,2019
8,36,2019
9,36,2019
10,36,2019
11,36,2019
12,36,2019
13,36,2019
14,36,2019
15,36,2019
16,36,2019
17,36,2019
18,36,2019
19,36,2019
20,36,2019
21,36,2019
22,36,2019
23,36,2019
24,36,2019
25,36,2019
26,36,2019
27,36,2019
28,36,2019
29,36,2019
30,36,2019
31,36,2019
32,36,2019
33,36,2019
34,36,2019
35,36,2019
36,36,2019
37,36,2019
38,36,2019
39,36,2019
40,36,2019
41,36,2019
42,36,2019
43,36,2019
44,36,2019
45,36,2019
46,36,2019
47,36,2019
48,36,2019
49,36,2019
50,36,2019
51,36,2019
52,36,2019
53,36,2019
1,3,2019
2,3,2019
3,3,2019
4,3,2019
5,3,2019
6,3,2019
7,3,2019
8,3,2019
9,3,2019
10,3,2019
11,3,2019
12,3,2019
13,3,2019
14,3,2019
15,3,2019
16,3,2019
17,3,2019
18,3,2019
19,3,2019
20,3,2019
21,3,2019
22,3,2019
23,3,2019
24,3,2019
25,3,2019
26,3,2019
27,3,2019
28,3,2019
29,3,2019
30,3,2019
31,3,2019
32,3,2019
33,3,2019
34,3,2019
35,3,2019
36,3,2019
37,3,2019
38,3,2019
39,3,2019
40,3,2019
41,3,2019
42,3,2019
43,3,2019
44,3,2019
45,3,2019
46,3,2019
47,3,2019
48,3,2019
49,3,2019
50,3,2019
51,3,2019
52,3,2019
53,3,2019
